id,0,1,2
76518,0.99110705,0.00012922083,0.008763759
76519,0.0004495745,0.008007385,0.9915431
76520,0.014950375,0.2529473,0.7321023
76521,0.10335443,0.58521706,0.31142858
76522,0.12127298,0.8504468,0.028280288
76523,0.0034912864,0.00840598,0.98810273
76524,0.005091746,0.0043536024,0.99055463
76525,0.0056997486,0.20499296,0.7893073
76526,0.7631248,0.1651576,0.07171749
76527,0.012180031,0.04515501,0.942665
76528,0.00082199246,0.001627996,0.9975501
76529,0.038650353,0.084293164,0.8770564
76530,0.018460156,0.01933634,0.9622036
76531,0.04442519,0.60652256,0.34905225
76532,0.93506,0.063645445,0.0012946242
76533,0.037783567,0.8187813,0.14343509
76534,0.0015646458,0.0035420787,0.9948933
76535,0.00046621973,0.0068723913,0.9926614
76536,0.061998792,0.80343956,0.13456173
76537,0.0018024583,0.0012077964,0.99698967
76538,0.0040088636,0.037717655,0.9582735
76539,0.9957051,0.0033034377,0.0009913447
76540,0.0035117713,0.32134086,0.6751474
76541,0.032366544,0.73053217,0.23710132
76542,0.9115972,0.044796266,0.04360658
76543,0.98473614,0.015213431,5.0394014e-05
76544,0.9965726,0.00091263663,0.0025147127
76545,0.0072935997,0.0035861977,0.9891202
76546,0.0014432607,0.004065852,0.99449086
76547,0.3526342,0.6404128,0.0069529605
76548,0.0023271716,0.049352717,0.94832003
76549,0.0040062354,0.006177361,0.9898163
76550,0.63567656,0.34874332,0.015580101
76551,0.23699155,0.7575772,0.005431236
76552,0.27272594,0.5352602,0.19201387
76553,0.8589626,0.030249832,0.11078764
76554,0.9277578,0.07166214,0.0005801257
76555,0.056386307,0.037573505,0.9060402
76556,0.012304136,0.041610662,0.9460852
76557,0.17365797,0.013559214,0.81278276
76558,0.003818874,0.010220397,0.98596066
76559,0.006496276,0.039237496,0.95426625
76560,0.0047289105,0.011642179,0.9836289
76561,0.0106109,0.061288606,0.9281004
76562,0.34203333,0.5030901,0.15487657
76563,0.07245647,0.13149618,0.7960474
76564,0.7528128,0.24709356,9.369675e-05
76565,0.8607036,0.08395163,0.05534483
76566,0.07685086,0.9112338,0.011915342
76567,0.022521975,0.2732167,0.7042613
76568,0.008414803,0.021928906,0.9696562
76569,0.01318943,0.029355422,0.95745504
76570,0.70005655,0.29886287,0.0010804408
76571,0.9869806,0.005390026,0.007629304
76572,0.01788712,0.033547368,0.9485655
76573,0.26485175,0.72850454,0.0066436687
76574,0.07922032,0.9101813,0.010598479
76575,0.020346198,0.685263,0.29439083
76576,0.03133938,0.23632957,0.73233104
76577,0.018931007,0.090198606,0.89087033
76578,0.18020995,0.7989483,0.020841712
76579,0.008536544,0.00563323,0.9858302
76580,0.9940947,0.005320584,0.000584744
76581,0.01785098,0.044740364,0.9374087
76582,0.9986583,0.0010842799,0.0002574084
76583,0.018319204,0.031249767,0.950431
76584,0.15549028,0.83529645,0.009213185
76585,0.9812952,0.012623901,0.0060809436
76586,0.0048815296,0.014519728,0.98059875
76587,0.14514337,0.45872304,0.39613348
76588,0.021543553,0.7500034,0.22845307
76589,0.0027559153,0.012224938,0.9850191
76590,0.051040575,0.032330148,0.9166293
76591,0.0010296543,0.0003638284,0.99860644
76592,0.8943086,0.10046341,0.0052279853
76593,0.17239937,0.78615814,0.04144246
76594,0.0018869047,0.018449372,0.9796638
76595,0.04361871,0.10847754,0.8479036
76596,0.1667061,0.81090176,0.022392085
76597,0.99826974,0.00041517624,0.0013150615
